ncessch,school_name,lea_name,school_type,school_level,charter,magnet,suspension_rate,counselors_per_student,counselor_quartile,pct_black,pct_hispanic,pct_white,pct_frp_lunch,enrollmentwhite,enrollment,free_lunch,pct_free_lunch,reduced_price_lunch,pct_rp_lunch,frp_lunch,students_oos_suspension,student_suspension_rate,suspensions_instances,homicide_ind,rape_incidents,sexual_battery_incidents,robbery_w_weapon_incidents,robbery_w_firearm_incidents,robbery_no_weapon_incidents,attack_w_weapon_incidents,attack_w_firearm_incidents,attack_no_weapon_incidents,threats_w_weapon_incidents,threats_w_firearm_incidents,threats_no_weapon_incidents,possession_firearm_incidents,num_incidents,incident_rate,counselors_fte,social_workers_fte,socialworkers_per_student,pct_students_oos_suspension,enrollment_by_1000
420089107602,MaST Community CS II,MaST Community CS II,Regular school,Elementary,1,0,.1984127,.1984127,2,22.619047,20.833334,40.476189,59.722221,204,504,260,51.587303,41,8.1349211,301,1,.1984127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.1984127,.50400001
420089207595,Global Leadership Academy CS Southwest a,Global Leadership Academy CS Southwest at Huey,Regular school,Elementary,1,0,0,0,1,99.324326,.50675678,.16891892,99.662163,1,592,590,99.662163,0,0,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.16891892,0,.59200001
420089307600,Independence CS West,Independence CS West,Regular school,Elementary,1,0,3.75,.25,3,86.25,3.5,5,99.5,20,400,398,99.5,0,0,398,135,33.75,15,0,0,2,0,0,0,0,0,27,0,0,15,0,29,7.25,1,0,0,33.75,.40000001
420089407594,Innovative Arts Academy CS,Innovative Arts Academy CS,Regular school,High School,1,0,24.813896,.24813896,2,14.392059,72.208435,10.669975,39.702232,43,403,150,37.220844,10,2.4813895,160,95,23.5732,100,0,0,3,0,0,2,0,0,71,0,0,20,3,76,18.858561,1,1,.24813896,23.5732,.403
420089507589,TECH Freire CS,TECH Freire CS,Regular school,High School,1,0,40.481926,.72289157,4,89.638557,4.5783134,.72289157,,3,415,,,,,,118,28.433735,168,0,0,0,0,0,0,0,0,16,0,0,18,0,16,3.8554218,3,1,.24096386,28.433735,.41499999
420089607608,Westinghouse Arts Academy CS,Westinghouse Arts Academy CS,Regular school,High School,1,0,13.513514,.9009009,4,23.423424,2.7027028,69.36937,32.432434,77,111,30,27.027027,6,5.4054055,36,11,9.9099102,15,0,0,0,0,0,0,0,0,7,0,0,4,1,7,6.3063064,1,0,0,9.9099102,.111
420089707625,Easton Arts Academy Elementary CS,Easton Arts Academy Elementary CS,Regular school,Elementary,1,0,0,.29761904,3,33.333332,23.511906,40.773811,55.059525,137,336,134,39.880951,51,15.178572,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.336
420089807635,Insight PA Cyber CS,Insight PA Cyber CS,Regular school,K-12,1,0,0,.42194092,4,33.544304,10.126582,53.375526,59.493671,253,474,230,48.523209,52,10.970464,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,.47400001
420201000371,Clarks Summit El Sch,Abington Heights SD,Regular school,Elementary,0,0,0,.14662756,1,2.6392963,6.1583576,82.697945,21.70088,282,341,73,21.407625,1,.29325512,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.5,.25,.07331378,0,.34099999
420201002402,Waverly Sch,Abington Heights SD,Regular school,Elementary,0,0,0,.14577259,1,1.457726,2.6239066,81.049561,15.16035,278,343,42,12.244898,10,2.915452,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.5,.25,.072886296,0,.34299999
420201002407,Newton-Ransom Sch,Abington Heights SD,Regular school,Elementary,0,0,0,.2016129,2,1.6129032,2.4193549,93.951614,30.645161,233,248,71,28.629032,5,2.016129,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.5,.25,.10080645,0,.248
420201005091,Abington Heights HS,Abington Heights SD,Regular school,High School,0,0,2.7671757,.47709924,4,1.5267175,1.7175573,92.843513,16.030535,973,1048,158,15.076336,10,.95419848,168,25,2.3854961,29,0,0,0,0,0,0,0,0,4,0,0,0,0,4,.38167939,5,1,.095419846,2.3854961,1.048
420201006398,South Abington Sch,Abington Heights SD,Regular school,Elementary,0,0,0,1.8965517,4,.68965518,3.7931035,90.344826,14.137931,262,290,38,13.103448,3,1.0344827,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,.25,.086206898,0,.28999999
420201006839,Abington Heights MS,Abington Heights SD,Regular school,Elementary,0,0,.81892627,.27297544,3,1.7288444,4.1856232,85.987259,22.292994,945,1099,225,20.473158,20,1.8198363,245,8,.72793448,9,0,0,0,0,0,0,0,0,5,0,0,0,0,5,.45495906,3,0,0,.72793448,1.099
420204000620,Copper Beech Sch,Abington SD,Regular school,Elementary,0,0,1.0638298,0,1,14.62766,5.8510637,71.099289,19.858156,802,1128,193,17.109928,31,2.7482269,224,8,.70921987,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.11,.0097517734,.70921987,1.128
